Candidate ID;DEX;AHP;TOPSIS;PROMETHEE;PAPRIKA;BASELINE
Candidate 1;1;1;1;1;1;4
Candidate 2;15;15;15;15;15;15
Candidate 3;5;6;6;5;5;9
Candidate 4;13;14;12;13;14;11
Candidate 5;10;7;11;10;8;7
Candidate 6;14;10;14;14;13;13
Candidate 7;12;9;13;12;12;14
Candidate 8;2;3;8;7;7;5
Candidate 9;7;8;2;2;2;2
Candidate 10;6;5;7;6;6;10
Candidate 11;9;11;3;9;10;8
Candidate 12;3;2;4;3;3;6
Candidate 13;11;13;10;11;11;3
Candidate 14;4;4;5;4;4;12
Candidate 15;8;12;9;8;9;1
