Candidate ID;DEX;AHP;TOPSIS;PROMETHEE;PAPRIKA;BASELINE
Candidate 1;5;5;5;5;8;5
Candidate 2;7;8;7;7;14;6
Candidate 3;12;13;12;12;6;15
Candidate 4;8;10;8;8;10;7
Candidate 5;1;2;1;1;1;1
Candidate 6;13;15;13;13;5;11
Candidate 7;11;11;11;11;12;14
Candidate 8;2;3;2;2;4;2
Candidate 9;3;4;3;3;7;4
Candidate 10;9;7;9;9;2;10
Candidate 11;14;12;14;14;15;12
Candidate 12;4;1;4;4;3;3
Candidate 13;10;9;10;10;13;8
Candidate 14;6;6;6;6;11;9
Candidate 15;15;14;15;15;9;13
