Candidate ID;DEX;AHP;TOPSIS;PROMETHEE;PAPRIKA;BASELINE
Candidate 1;4;3;3;3;3;7
Candidate 2;15;15;15;15;15;15
Candidate 3;10;8;8;8;8;14
Candidate 4;11;12;9;10;9;10
Candidate 5;7;10;11;12;11;8
Candidate 6;14;14;13;14;12;12
Candidate 7;13;13;14;13;14;13
Candidate 8;5;7;6;6;6;5
Candidate 9;1;1;1;1;1;1
Candidate 10;9;11;12;9;13;9
Candidate 11;8;4;4;5;5;6
Candidate 12;6;6;7;7;7;4
Candidate 13;2;2;2;2;2;2
Candidate 14;12;9;10;11;10;11
Candidate 15;3;5;5;4;4;3
