;DEX
Candidate 1;0.68143583
Candidate 2;0.5781581
Candidate 3;0.67438375
Candidate 4;0.57914652
Candidate 5;3.88963298
Candidate 6;0.89554046
Candidate 7;0.5836972
Candidate 8;0.99773134
Candidate 9;0.7579095
Candidate 10;3.86455686
Candidate 11;0.5781581
Candidate 12;2.78937107
Candidate 13;0.57817261
Candidate 14;0.57915306
Candidate 15;0.65641612
