;PAPRIKA
Projektni tajnik;78.3
Prodajalec velenje;80.3
barmen Mons;78.7
barmen Coffee shop;74.30000000000001
barmen Union;90.69999999999999
barmen Test;82.3
barmen in a bar;64.8
barmen tea shop;62.1
school cook;67.3
cook in a resturant;66.39999999999999
merchant in a food store;76.00000000000001
merchant in a store with clothes;80.9
merchant in a pet store;68.89999999999999
baker;68.6
confectioner;63.70000000000001
hairdresser;68.6
beautician;77.1
1507;100.19999999999999
New;86.39999999999999
