;AHP
Candidate 1;1.000000
Candidate 2;0.210398
Candidate 3;0.787972
Candidate 4;0.372542
Candidate 5;0.760575
Candidate 6;0.625828
Candidate 7;0.645651
Candidate 8;0.807795
Candidate 9;0.707450
Candidate 10;0.787972
Candidate 11;0.540498
Candidate 12;0.807795
Candidate 13;0.487466
Candidate 14;0.794579
Candidate 15;0.500529
