;AHP
Candidate 1;0.805765
Candidate 2;0.708647
Candidate 3;0.160954
Candidate 4;0.708647
Candidate 5;1.000000
Candidate 6;0.160954
Candidate 7;0.452306
Candidate 8;1.000000
Candidate 9;1.000000
Candidate 10;0.708647
Candidate 11;0.160954
Candidate 12;1.000000
Candidate 13;0.708647
Candidate 14;0.805765
Candidate 15;0.160954
