alternatives;PROMETHEE
Projektni tajnik;2.3741
Prodajalec velenje;3.268
barmen Mons;2.4559
barmen Coffee shop;2.4559
barmen Union;5.9959
barmen Test;3.268
barmen in a bar;-1.3631
barmen tea shop;-1.7365
school cook;-7.4714
cook in a resturant;-7.9099
merchant in a food store;0.9913
merchant in a store with clothes;4.8103
merchant in a pet store;-4.0909
baker;-5.5556
confectioner;-8.2834
hairdresser;-5.5556
beautician;-0.9245
1507;12.1693
New;5.102
