;PROMETHEE
Candidate 1;0.1097
Candidate 2;0.0495
Candidate 3;-0.3037
Candidate 4;0.0495
Candidate 5;0.2301
Candidate 6;-0.3037
Candidate 7;-0.1231
Candidate 8;0.2301
Candidate 9;0.2301
Candidate 10;0.0495
Candidate 11;-0.3037
Candidate 12;0.2301
Candidate 13;0.0495
Candidate 14;0.1097
Candidate 15;-0.3037
