;TOPSIS
Candidate 1;0.714308023
Candidate 2;0.000000000
Candidate 3;0.492405809
Candidate 4;0.345581721
Candidate 5;0.360844492
Candidate 6;0.331081757
Candidate 7;0.341557715
Candidate 8;0.482622693
Candidate 9;0.614996269
Candidate 10;0.492405809
Candidate 11;0.527275793
Candidate 12;0.502751475
Candidate 13;0.394781221
Candidate 14;0.495449487
Candidate 15;0.444529236
