;AHP
Candidate 1;0.308585
Candidate 2;0.157061
Candidate 3;0.437498
Candidate 4;0.163521
Candidate 5;1.000000
Candidate 6;0.832075
Candidate 7;0.199613
Candidate 8;0.817021
Candidate 9;0.300179
Candidate 10;0.945038
Candidate 11;0.157061
Candidate 12;0.911825
Candidate 13;0.157571
Candidate 14;0.175382
Candidate 15;0.223147
