;PROMETHEE
Candidate 1;0.1209
Candidate 2;-0.1326
Candidate 3;0.0198
Candidate 4;-0.0534
Candidate 5;-0.0086
Candidate 6;-0.0594
Candidate 7;-0.0389
Candidate 8;0.0099
Candidate 9;0.0863
Candidate 10;0.0198
Candidate 11;-0.0046
Candidate 12;0.0402
Candidate 13;-0.0230
Candidate 14;0.0266
Candidate 15;-0.0028
