;PROMETHEE
Candidate 1;-0.0385
Candidate 2;-0.1545
Candidate 3;-0.0236
Candidate 4;-0.1417
Candidate 5;0.2762
Candidate 6;0.1482
Candidate 7;-0.1485
Candidate 8;0.1942
Candidate 9;-0.0309
Candidate 10;0.2458
Candidate 11;-0.1545
Candidate 12;0.2274
Candidate 13;-0.1535
Candidate 14;-0.1443
Candidate 15;-0.1018
