;TOPSIS
Candidate 1;0.251089276
Candidate 2;0.079018409
Candidate 3;0.341784466
Candidate 4;0.104299670
Candidate 5;0.804266873
Candidate 6;0.499086622
Candidate 7;0.071161022
Candidate 8;0.601346558
Candidate 9;0.238034859
Candidate 10;0.795615313
Candidate 11;0.079018409
Candidate 12;0.658008635
Candidate 13;0.098689471
Candidate 14;0.087616239
Candidate 15;0.204596896
