;DEX
Candidate 1;0.83509397
Candidate 2;0.59131331
Candidate 3;0.67737238
Candidate 4;0.66445961
Candidate 5;0.74970748
Candidate 6;0.59561022
Candidate 7;0.61126788
Candidate 8;0.82136205
Candidate 9;4.08964607
Candidate 10;0.73236459
Candidate 11;0.73462246
Candidate 12;0.82136205
Candidate 13;2.76552125
Candidate 14;0.664446
Candidate 15;0.95309711
