;TOPSIS
Candidate 1;0.59929598
Candidate 2;0.526496969
Candidate 3;0.000000000
Candidate 4;0.526496969
Candidate 5;1.000000000
Candidate 6;0.000000000
Candidate 7;0.473503031
Candidate 8;1.000000000
Candidate 9;1.000000000
Candidate 10;0.526496969
Candidate 11;0.000000000
Candidate 12;1.000000000
Candidate 13;0.526496969
Candidate 14;0.59929598
Candidate 15;0.000000000
