;PROMETHEE
Candidate 1;0.1343
Candidate 2;-0.1739
Candidate 3;-0.0331
Candidate 4;-0.0574
Candidate 5;-0.0937
Candidate 6;-0.1523
Candidate 7;-0.1300
Candidate 8;0.0046
Candidate 9;0.3250
Candidate 10;-0.0393
Candidate 11;0.0228
Candidate 12;0.0046
Candidate 13;0.1895
Candidate 14;-0.0609
Candidate 15;0.0597
