;DEX;AHP;TOPSIS;PROMETHEE;PAPRIKA
Candidate 1;7;7;7;8;8
Candidate 2;14;14;13;14;14
Candidate 3;8;6;6;6;6
Candidate 4;12;12;10;10;10
Candidate 5;1;1;1;1;1
Candidate 6;5;4;5;5;5
Candidate 7;10;10;15;12;12
Candidate 8;4;5;4;4;4
Candidate 9;6;8;8;7;7
Candidate 10;2;2;2;2;2
Candidate 11;14;14;13;14;14
Candidate 12;3;3;3;3;3
Candidate 13;13;13;11;13;13
Candidate 14;11;11;12;11;11
Candidate 15;9;9;9;9;9
