;TOPSIS
Candidate 1;0.531811362
Candidate 2;0.041268273
Candidate 3;0.332362824
Candidate 4;0.320805912
Candidate 5;0.132851028
Candidate 6;0.097153832
Candidate 7;0.096812277
Candidate 8;0.336615180
Candidate 9;0.756272254
Candidate 10;0.104236070
Candidate 11;0.507006591
Candidate 12;0.336615180
Candidate 13;0.656676150
Candidate 14;0.319894465
Candidate 15;0.384850360
