;DEX;AHP;TOPSIS;PROMETHEE;PAPRIKA
Candidate 1;5;5;5;5;8
Candidate 2;7;7;7;7;14
Candidate 3;12;12;12;12;6
Candidate 4;7;7;7;7;10
Candidate 5;1;1;1;1;1
Candidate 6;12;12;12;12;5
Candidate 7;11;11;11;11;12
Candidate 8;1;1;1;1;4
Candidate 9;1;1;1;1;7
Candidate 10;7;7;7;7;2
Candidate 11;12;12;12;12;14
Candidate 12;1;1;1;1;3
Candidate 13;7;7;7;7;13
Candidate 14;5;5;5;5;11
Candidate 15;12;12;12;12;9
