;AHP
Candidate 1;0.616790
Candidate 2;0.140862
Candidate 3;0.269198
Candidate 4;0.225851
Candidate 5;0.239545
Candidate 6;0.151958
Candidate 7;0.220944
Candidate 8;0.315234
Candidate 9;1.000000
Candidate 10;0.235152
Candidate 11;0.485769
Candidate 12;0.315234
Candidate 13;0.687784
Candidate 14;0.243245
Candidate 15;0.403531
