;DEX;AHP;TOPSIS;PROMETHEE;PAPRIKA
Candidate 1;1;1;1;1;1
Candidate 2;15;15;15;15;15
Candidate 3;5;5;6;5;5
Candidate 4;13;14;12;13;14
Candidate 5;10;7;11;10;8
Candidate 6;14;10;14;14;13
Candidate 7;12;9;13;12;12
Candidate 8;2;2;8;7;7
Candidate 9;7;8;2;2;2
Candidate 10;5;5;6;5;5
Candidate 11;9;11;3;9;10
Candidate 12;2;2;4;3;3
Candidate 13;11;13;10;11;11
Candidate 14;4;4;5;4;4
Candidate 15;8;12;9;8;9
